,2016,2017,2018,2019
trial_court,111466652.30000184,108356313.99000165,110473319.37000145,124205832.61000109
CPCS,10797600.959999997,11650922.759999955,11448343.74000007,14652018.41000003
DOC,97725853.44000003,95048173.11999975,96505205.59999825,98605034.89000028
Suffolk_DA,2736672.7899999926,2795897.999999999,2929760.2499999977,3485928.940000006
Suffolk_Sheriff,12144514.950000007,10874851.970000148,11296755.810000066,12219683.860000046
State_Police,31973742.88999991,28617888.55999975,32748216.50000008,35268842.59999989
MBTA,0,0,0,0
DAA,2768464.739999999,2751520.9299999997,2679983.4800000004,2774395.8600000017
MA Sheriff's Association,114062.06999999996,89715.14999999998,82743.84999999996,79547.05999999995
Parole_Board,1499617.289999999,1320663.1700000002,1388778.359999998,1707042.4699999997
CJT,1862384.8099999975,2078994.8899999969,1655397.8200000003,1712514.3300000008
Supreme_Judicial_Court,21532259.580000002,22671810.210000042,22895973.47000002,26457208.52
Appeals_Court,757025.9899999996,502528.75999999966,657971.2399999993,607335.8600000001
Boston PD,32100260.929409146,37334394.16696066,46973887.19279373,48753531.01405519
Chelsea PD,0.0,701295.7599999998,710475.6900000013,639385.2899999991
Revere PD,1064650.0,1012450.0,979764.0,983764.0
Winthrop PD,194777.0,185439.0,194956.0,233533.0
