Agency,2016,2017,2018,2019
Appeals_Court,1547196.1082434547,1419499.8654260538,1523190.352831399,1437651.913374717
Boston PD,509910781.76110697,542560181.301516,593005917.0675681,610739589.0798157
CJT,819000.2262061317,802561.583452391,742353.6892580498,787417.0878762259
CPCS,19212063.278110795,19857123.76914986,21584076.749900118,24322406.27952237
Chelsea PD,15887199.312741857,16413979.16156256,18402542.50797756,13503387.418134745
DAA,484952.74888774275,485947.487305824,485488.0794543087,504768.7895290552
DOC,126474659.53127743,118364780.23229653,138407479.7434938,149389379.2718533
MA Sheriff's Association,51367.012230796376,47487.96241307506,47490.59086914706,43957.408425443544
MBTA,3973009.550406935,3990091.3224833994,4118817.481110394,4815666.55016828
Parole_Board,4402653.414844421,4007777.3022398013,4765650.281690584,5534174.57530521
Revere PD,20268086.144985866,20527250.354668263,20912629.256401848,21563189.23487618
State_Police,70702772.34934188,73377486.04829602,74886645.25050668,75514915.8124084
Suffolk_DA,25755956.002071474,26218634.860274956,26298686.74224203,28647039.695634346
Suffolk_Sheriff,140728863.86144802,140802663.87825853,142536135.19020742,144789958.79038963
Supreme_Judicial_Court,1782978.2204689644,1744979.0745139786,1910418.780043346,2232881.476824864
Winthrop PD,4744712.2098847,5043000.671379181,5185268.429704115,5901342.581043603
trial_court,46290098.17162691,44071353.59904362,49050302.08375953,53767615.18778288
