,2016,2017,2018,2019
trial_court Payroll Costs,23972722.911005087,22938605.95284913,25815412.06414749,28271447.04281996
trial_court Non-Payroll Operating Costs,5459896.759084597,5063328.750165602,5631905.901909848,6725293.128315384
trial_court Pension Costs,3568017.5234581917,3772546.4078283864,4348113.459071075,4929516.703476512
trial_court Fringe Benefit Costs,9601913.336849766,9130258.36687122,9596799.087235985,10122247.19190394
trial_court Capital Costs,3687547.6412292738,3166614.1213292773,3658071.5713951467,3719111.121267082
CPCS Payroll Costs,9948961.775283962,10244220.521047536,11167507.358984977,12535328.107755046
CPCS Non-Payroll Operating Costs,8275905.4550858475,8644073.349530853,9397978.973540677,10656326.235337967
CPCS Pension Costs,134390.11533408286,144637.12362676143,176775.35445943658,210817.1963486894
CPCS Fringe Benefit Costs,852805.9324069016,824192.7749447075,841815.0629150287,919934.7400806636
CPCS Capital Costs,0.0,0.0,0.0,0.0
DOC Payroll Costs,64692864.28473244,60207299.043444864,71405723.04467377,77738263.4710184
DOC Non-Payroll Operating Costs,15413218.623364748,14015834.944134861,16565345.117210465,17777446.92419083
DOC Pension Costs,15868163.470231734,15002643.15159318,17255339.315328408,18801453.850564636
DOC Fringe Benefit Costs,25262984.642254777,23368468.52999037,25797048.85991895,27009383.620537847
DOC Capital Costs,5237428.510693746,5770534.563133232,7384023.406362238,8062831.405541525
Suffolk_DA Payroll Costs,15567170.58,15828355.789999994,16032724.70499999,17406111.000000007
Suffolk_DA Non-Payroll Operating Costs,2736672.7899999926,2795897.999999999,2929760.2499999977,3485928.940000006
Suffolk_DA Pension Costs,1423007.7941232529,1511310.1046749125,1600690.82049407,1763099.4997238251
Suffolk_DA Fringe Benefit Costs,6029104.837948232,6083070.965600046,5735510.966747981,5991900.255910505
Suffolk_DA Capital Costs,0.0,0.0,0.0,0.0
Suffolk_Sheriff Payroll Costs,81354227.82000002,82184620.69500005,84160044.16000003,85087774.22500001
Suffolk_Sheriff Non-Payroll Operating Costs,12144514.950000007,10874851.970000148,11296755.810000066,12219683.860000046
Suffolk_Sheriff Pension Costs,14068502.890001066,14974931.96013771,15901941.134422608,17205456.18967759
Suffolk_Sheriff Fringe Benefit Costs,32589930.78144694,32580778.623120602,30953926.715784777,30183220.765711978
Suffolk_Sheriff Capital Costs,571687.4199999999,187480.63,223467.37,93823.75
State_Police Payroll Costs,40576356.044570126,42185632.09757245,43087757.5973133,42740776.35204254
State_Police Non-Payroll Operating Costs,3624984.1836939664,3274686.6568769333,3780924.0538569,4095309.9996828996
State_Police Pension Costs,9366469.740159797,10026802.347758139,10850827.84025618,12135454.437414516
State_Police Fringe Benefit Costs,15715422.577326935,16212922.080056028,15414481.417216832,14713396.710862517
State_Police Capital Costs,1419539.8035910744,1677442.8660324458,1752654.3418635007,1829978.3124059187
MBTA Payroll Costs,3190443.00711002,3194160.4321464524,3317207.4922081092,3877798.3347363425
MBTA Non-Payroll Operating Costs,0.0,0.0,0.0,0.0
MBTA Pension Costs,782566.5432969149,795930.8903369469,801609.9889022845,937868.2154319366
MBTA Fringe Benefit Costs,0.0,0.0,0.0,0.0
MBTA Capital Costs,0.0,0.0,0.0,0.0
DAA Payroll Costs,116914.70005797969,117068.35547708091,121709.0289325973,126310.3443809091
DAA Non-Payroll Operating Costs,313871.320293664,314850.93167155335,309415.75103704043,322154.351289568
DAA Pension Costs,8886.118284905242,9037.101672842546,10823.384527018257,12822.871383315609
DAA Fringe Benefit Costs,45280.61025119387,44991.098484347145,43539.91495765282,43481.222475262446
DAA Capital Costs,0.0,0.0,0.0,0.0
MA Sheriff's Association Payroll Costs,27705.23408083085,26888.42262107485,27941.664918976163,25829.17993591932
MA Sheriff's Association Non-Payroll Operating Costs,12931.648356962034,10265.921750612726,9553.137428834525,9236.761011924344
MA Sheriff's Association Pension Costs,0.0,0.0,0.0,0.0
MA Sheriff's Association Fringe Benefit Costs,10730.129793003496,10333.61804138748,9995.78852133638,8891.46747759987
MA Sheriff's Association Capital Costs,0.0,0.0,0.0,0.0
Parole_Board Payroll Costs,2346799.0109930686,2082647.2572845754,2479908.858603829,2807824.536219239
Parole_Board Non-Payroll Operating Costs,236518.05871758223,194745.42644968588,238387.06608292993,307761.7379438922
Parole_Board Pension Costs,910430.1827609781,929992.5101617089,1160197.3255716104,1306626.2987494378
Parole_Board Fringe Benefit Costs,908906.1623727924,800392.1083438303,887157.0314322151,966568.8422372951
Parole_Board Capital Costs,0.0,0.0,0.0,145393.1601553453
CJT Payroll Costs,438157.79798977607,407903.20718800253,405992.10495748074,437841.9402471094
CJT Non-Payroll Operating Costs,211145.61105429288,237895.14770541748,191122.87951132425,198851.9198032681
CJT Pension Costs,0.0,0.0,0.0,0.0
CJT Fringe Benefit Costs,169696.8171620628,156763.22855897082,145238.70478924495,150723.2278258484
CJT Capital Costs,0.0,0.0,0.0,0.0
