Agency,Hidden,2016,2017,2018,2019
Appeals_Court,False,946525.8138040705,877047.8182634352,941561.3048812574,859120.3169512148
Appeals_Court,True,600670.2944393846,542452.0471626184,581629.0479501422,493757.90600002394
Boston PD,False,354745384.21608055,373857219.57332706,419972396.90586257,426187142.0281105
Boston PD,True,164249438.70313904,177606254.28345215,180324347.65200156,183178220.52916119
CJT,False,639515.0227409836,606856.1720277814,581579.456351936,618345.0679381054
CJT,True,150222.65370590592,157737.67294485852,119100.08430712478,126441.5807752489
CPCS,False,2726812.0598187186,2745466.982306899,2996448.1093546185,3292075.1951702847
CPCS,True,987447.7066269178,907073.4378537913,949985.1599579577,1022630.9469177576
Chelsea PD,False,10909088.0,11610079.960853666,11924117.867905049,13375656.973482236
Chelsea PD,True,1514959.817408911,4198258.490709121,4514380.50007243,5176617.394652276
DAA,False,409943.3421620071,415724.10376988957,415409.0535894479,433995.4302476932
DAA,True,49565.38612872855,46989.53379889221,49734.74025914102,48897.61371696193
DOC,False,81174393.14375424,76394282.08182117,89237438.36066659,97923456.17384702
DOC,True,45234128.86226397,41926990.65394894,49169687.36774144,51371303.422908574
MA Sheriff's Association,False,40874.30414517319,38317.73746355379,37727.64490843123,41883.27841430006
MA Sheriff's Association,True,10492.708085623186,9170.22494952127,9762.945960715835,2074.1300111434693
MBTA,False,0.0,0.0,0.0,0.0
MBTA,True,5208655.920417876,5217654.508462436,5305507.847259121,6150564.439436939
Parole_Board,False,2539005.3742326344,2328912.967984376,2694017.0664416063,3234859.1636623545
Parole_Board,True,1801497.285894846,1651100.129829841,2023307.5242224643,2241552.1573797693
Revere PD,False,10111712.0,10096051.0,10337231.0,10719100.0
Revere PD,True,10156374.144985862,10431199.354668265,10575398.256401848,10844089.23487618
State_Police,False,38285852.86029782,38235702.5050036,40430271.48727859,43546235.477411374
State_Police,True,31769878.437341444,34371927.01900337,33736817.969677396,31296688.288682632
Suffolk_DA,False,18125340.409999996,19009351.769999996,18788998.569999997,20935527.61000001
Suffolk_DA,True,7630615.59207148,7209283.090274956,7505246.004330163,7556588.957983902
Suffolk_Sheriff,False,92785837.37,91382997.31000006,95546201.7700001,99735817.18000002
Suffolk_Sheriff,True,43916524.66941562,45393541.93767647,43040823.55377327,41074835.318115346
Supreme_Judicial_Court,False,1506159.1856322794,1476179.2669008637,1628314.8496277428,1825222.8432329767
Supreme_Judicial_Court,True,273511.6279044395,262774.0571469119,276084.22662589897,271224.43377607915
Winthrop PD,False,3037686.0,3213280.0,3331505.0,4036935.0
Winthrop PD,True,1707026.2098847004,1890977.6713791802,1853763.4297041153,1864407.581043603
trial_court,False,30219841.748369128,29460745.265494294,32363533.121700253,34330916.421062656
trial_court,True,17577815.21859684,16199336.610963756,18482985.75305119,18207920.937225025
