,2016,2017,2018,2019
trial_court,481205455.3400011,493201162.3400009,501156169.3199985,527130234.2299999
CPCS,44061261.829999946,46126434.10999996,46228194.57999995,48907569.679999955
DOC,401691079.31000036,412157145.22999954,413739687.17999953,432740856.12000066
Suffolk DA,15219084.140000002,16030703.309999999,15679762.449999997,17276461.02
Suffolk Sheriff,77548753.96999998,78241276.77999993,82046241.64000005,85396916.73000003
State_Police,331448024.3100019,333095099.52999943,344898224.8899998,360742858.0000012
MBTA,0.0,0.0,0.0,0.0
DAA,842879.9699999997,878612.8200000003,915970.0700000001,960804.8099999999
MA Sheriff's Association,237825.59,239440.36000000004,238853.60000000003,253306.56999999998
Parole Board,14557066.57999998,14412348.489999993,14247688.53000003,15350530.129999997
CJT,1684103.2300000004,1835814.8,1936559.21,2006701.3700000003
Supreme_Judicial_Court,8434792.43,8581866.83,8727260.830000004,9208369.000000004
Appeals_Court,11256333.300000003,11712936.440000001,11860552.899999999,12573229.450000001
Boston PD,322000476.07059085,335073541.83303934,360633372.8072063,374141609.9859448
Chelsea PD,9685922.0,9551598.59,9923457.54,11526261.8
Revere PD,9047062.0,9083601.0,9357467.0,9735336.0
Winthrop PD,2842909.0,2927191.0,3225884.0,3803402.0
