,2016,2017,2018,2019
trial_court,0.0,0.0,0.0,0.0
CPCS,0.0,0.0,0.0,0.0
DOC,0.0,0.0,0.0,0.0
Suffolk DA,0.0,0.0,0.0,0.0
Suffolk Sheriff,0.0,0.0,0.0,0.0
State_Police,0.0,0.0,0.0,0.0
MBTA,28140924.850000005,22662116.389999997,24217763.28000001,31640635.49000002
DAA,0.0,0.0,0.0,0.0
MA Sheriff's Association,0.0,0.0,0.0,0.0
Parole Board,0.0,0.0,0.0,0.0
CJT,0.0,0.0,0.0,0.0
Supreme_Judicial_Court,0.0,0.0,0.0,0.0
Appeals_Court,0.0,0.0,0.0,0.0
Boston PD,388587231.1099994,391277619.77000004,416682999.9400022,415725606.7999994
Chelsea PD,0.0,12165124.099999912,12770764.809999686,14734808.949999768
Revere PD,0.0,0.0,0.0,0.0
Winthrop PD,0.0,0.0,0.0,0.0
