,Pension Payouts Fraction,Payroll Fraction,Relative Difference
trial_court,0.05034939795224056,0.06568554428925608,1.3045944333150274
CPCS,0.0021024036886952997,0.006540813422154481,3.111112036819889
DOC,0.009235795321942917,0.05471841761223716,5.924602668731095
Suffolk_DA,0.0009614231708365705,0.0023186443576003473,2.4116792978713084
Suffolk_Sheriff,0.005263402710416713,0.010599627280782705,2.013835509831911
State_Police,0.05630454829735178,0.045673319719755,0.8111834851875225
DAA,5.670029272401635e-05,0.00013813530235277368,2.4362361412336093
Parole_Board,0.0038256196480376614,0.0020689073757968646,0.5408032073596505
Supreme_Judicial_Court,0.001214166758287001,0.001180604160326367,0.9723575054813842
Appeals_Court,0.0019302794336304063,0.0015592774266611315,0.8077988085530672
